iteration,val_loss_A,val_loss_B
0,1212.5530,1212.5592
12,1211.7471,1211.8746
3612,1207.6736,1208.0228
7212,1205.8514,1206.3706
10812,1206.3547,1206.7138
14412,1206.7229,1206.7620
18012,1204.7626,1206.3075
21612,1202.0727,1205.1803
25212,1192.4103,1205.9782
28812,1182.0623,1200.7650
32412,1172.8651,1199.5604
36012,1172.3336,1196.1473
39612,1170.7335,1196.9538
43212,1158.2845,1193.0629
46812,1163.7274,1183.0116
50412,1164.7514,1175.8456
54012,1158.0555,1178.6471
57612,1161.5895,1168.6929
61212,1163.1893,1165.1369
64812,1160.8496,1149.7257
68412,1158.3862,1156.3343
72012,1161.1806,1168.7742
75612,1167.0807,1157.9509
79212,1168.7346,1147.7080
82812,1164.0633,1153.2110
86412,1161.1872,1154.2440
90012,1163.5721,1147.5056
93612,1164.9666,1156.8112
97212,1156.5755,1139.1152
100812,1174.5950,1149.9595
104412,1156.3830,1149.5918
108012,1159.6918,1149.0315
111612,1158.5442,1153.7517
115212,1159.0099,1141.7914
118812,1158.6544,1148.1022
122412,1157.7469,1144.9998
126012,1153.2412,1149.9144
129612,1154.6189,1152.9115
133212,1158.1896,1145.8231
136812,1156.6087,1142.9586
140412,1153.7491,1146.4059
144012,1152.1816,1149.9946
147612,1151.5075,1143.3270
151212,1153.5651,1144.9134
154812,1159.3759,1156.1772
158412,1157.6256,1148.1535
162012,1149.2913,1137.8219
165612,1149.6651,1152.2316
169212,1148.1312,1156.9998
172812,1151.7816,1139.5149
176412,1145.0673,1148.1521
180012,1148.6651,1156.9476
183612,1146.4211,1147.0188
187212,1149.1065,1149.0120
190812,1148.6975,1147.2483
194412,1146.5436,1152.4356
198012,1147.9998,1145.2095
201612,1147.0294,1150.5090
205212,1140.2280,1145.6015
208812,1142.9587,1150.0096
212412,1145.1025,1144.7976
216012,1143.7317,1154.1877
219612,1141.9546,1144.7344
223212,1143.8520,1151.4877
226812,1142.2662,1146.3343
230412,1141.4983,1147.0198
234012,1141.9582,1145.3685
237612,1142.3555,1146.1783
241212,1141.8480,1148.0285
244812,1141.7745,1143.3601
248412,1139.7140,1148.6122
250008,1144.6362,1147.7179
