iteration,val_loss_A,val_loss_B
0,1212.5556,1212.5530
12,1212.2575,1211.7471
3612,1206.3210,1207.6736
7212,1206.1248,1205.8514
10812,1205.7025,1206.3547
14412,1206.0824,1206.7229
18012,1205.9267,1204.7626
21612,1199.3854,1202.0727
25212,1192.7493,1192.4103
28812,1184.2532,1182.0623
32412,1175.8663,1172.8651
36012,1170.1614,1172.3336
39612,1170.5515,1170.7335
43212,1170.5394,1158.2845
46812,1163.0753,1163.7274
50412,1166.7279,1164.7514
54012,1165.3890,1158.0555
57612,1163.9735,1161.5895
61212,1157.2235,1163.1893
64812,1163.9785,1160.8496
68412,1168.6454,1158.3862
72012,1156.2146,1161.1806
75612,1153.7558,1167.0807
79212,1155.2570,1168.7346
82812,1143.5370,1164.0633
86412,1155.3520,1161.1872
90012,1150.2037,1163.5721
93612,1146.0899,1164.9666
97212,1166.0588,1156.5755
100812,1159.3972,1174.5950
104412,1149.9424,1156.3830
108012,1152.2472,1159.6918
111612,1145.2592,1158.5442
115212,1162.6179,1159.0099
118812,1159.1506,1158.6544
122412,1149.5846,1157.7469
126012,1157.3147,1153.2412
129612,1155.5432,1154.6189
133212,1153.2944,1158.1896
136812,1155.7976,1156.6087
140412,1170.6714,1153.7491
144012,1154.2528,1152.1816
147612,1150.4220,1151.5075
151212,1152.8307,1153.5651
154812,1159.6491,1159.3759
158412,1148.1151,1157.6256
162012,1159.5074,1149.2913
165612,1168.3797,1149.6651
169212,1149.1648,1148.1312
172812,1154.8277,1151.7816
176412,1147.5207,1145.0673
180012,1148.9453,1148.6651
183612,1146.5118,1146.4211
187212,1150.2214,1149.1065
190812,1167.6187,1148.6975
194412,1153.1420,1146.5436
198012,1149.6872,1147.9998
201612,1147.5358,1147.0294
205212,1148.8634,1140.2280
208812,1149.8740,1142.9587
212412,1156.6829,1145.1025
216012,1152.8448,1143.7317
219612,1141.0463,1141.9546
223212,1153.7354,1143.8520
226812,1150.9120,1142.2662
230412,1148.4920,1141.4983
234012,1145.9390,1141.9582
237612,1146.7684,1142.3555
241212,1150.2581,1141.8480
244812,1147.7892,1141.7745
248412,1153.3329,1139.7140
250008,1148.8075,1144.6362
