iteration,val_loss_A,val_loss_B
0,1212.5556,1212.5467
12,1212.2575,1212.0451
3612,1206.3210,1205.1753
7212,1206.1248,1206.8535
10812,1205.7025,1206.6615
14412,1206.0824,1206.3603
18012,1205.9267,1206.2544
21612,1199.3854,1206.6749
25212,1192.7493,1213.5255
28812,1184.2532,1200.9585
32412,1175.8663,1193.8305
36012,1170.1614,1189.6421
39612,1170.5515,1181.0526
43212,1170.5394,1179.9459
46812,1163.0753,1176.7960
50412,1166.7279,1169.9621
54012,1165.3890,1159.0972
57612,1163.9735,1173.8967
61212,1157.2235,1197.2148
64812,1163.9785,1168.9665
68412,1168.6454,1164.7707
72012,1156.2146,1165.1124
75612,1153.7558,1154.7896
79212,1155.2570,1166.8570
82812,1143.5370,1166.6891
86412,1155.3520,1188.8464
90012,1150.2037,1306.4735
93612,1146.0899,1188.1393
97212,1166.0588,1180.2319
100812,1159.3972,1195.9462
104412,1149.9424,1193.9646
108012,1152.2472,1191.7150
111612,1145.2592,1182.2868
115212,1162.6179,1172.0938
118812,1159.1506,1209.2466
122412,1149.5846,1261.6149
126012,1157.3147,1303.0241
129612,1155.5432,1200.9613
133212,1153.2944,1170.9588
136812,1155.7976,1194.0654
140412,1170.6714,1181.5870
144012,1154.2528,1176.1111
147612,1150.4220,1169.2778
151212,1152.8307,1168.6911
154812,1159.6491,1162.8660
158412,1148.1151,1163.1878
162012,1159.5074,1160.8299
165612,1168.3797,1170.0790
169212,1149.1648,1160.8200
172812,1154.8277,1161.7554
176412,1147.5207,1167.2268
180012,1148.9453,1165.2338
183612,1146.5118,1161.8835
187212,1150.2214,1157.8814
190812,1167.6187,1159.0685
194412,1153.1420,1152.4383
198012,1149.6872,1152.0758
201612,1147.5358,1158.4730
205212,1148.8634,1158.7704
208812,1149.8740,1155.2645
212412,1156.6829,1154.8303
216012,1152.8448,1150.5741
219612,1141.0463,1158.3133
223212,1153.7354,1143.1055
226812,1150.9120,1149.8725
230412,1148.4920,1152.9744
234012,1145.9390,1147.6558
237612,1146.7684,1152.5891
241212,1150.2581,1149.3406
244812,1147.7892,1152.6918
248412,1153.3329,1151.1478
250008,1148.8075,1156.3866
