iteration,val_loss_A,val_loss_B
0,1212.5556,1212.5497
12,1212.2575,1211.7933
3612,1206.3210,1206.8331
7212,1206.1248,1207.4437
10812,1205.7025,1206.1021
14412,1206.0824,1206.2946
18012,1205.9267,1204.1880
21612,1199.3854,1201.7573
25212,1192.7493,1190.0517
28812,1184.2532,1184.5230
32412,1175.8663,1174.2851
36012,1170.1614,1179.1252
39612,1170.5515,1174.0103
43212,1170.5394,1179.8168
46812,1163.0753,1168.8909
50412,1166.7279,1179.0335
54012,1165.3890,1171.3346
57612,1163.9735,1164.6277
61212,1157.2235,1174.0634
64812,1163.9785,1165.9828
68412,1168.6454,1174.3908
72012,1156.2146,1178.1888
75612,1153.7558,1166.0802
79212,1155.2570,1174.6413
82812,1143.5370,1164.9092
86412,1155.3520,1169.4652
90012,1150.2037,1171.1677
93612,1146.0899,1175.2162
97212,1166.0588,1173.9763
100812,1159.3972,1168.6564
104412,1149.9424,1172.8285
108012,1152.2472,1163.5787
111612,1145.2592,1161.7089
115212,1162.6179,1170.3667
118812,1159.1506,1174.6678
122412,1149.5846,1170.5868
126012,1157.3147,1167.1255
129612,1155.5432,1167.4171
133212,1153.2944,1168.2857
136812,1155.7976,1176.3770
140412,1170.6714,1163.0901
144012,1154.2528,1163.1483
147612,1150.4220,1161.3737
151212,1152.8307,1165.2208
154812,1159.6491,1165.6917
158412,1148.1151,1167.5395
162012,1159.5074,1181.6246
165612,1168.3797,1166.1481
169212,1149.1648,1171.6817
172812,1154.8277,1166.0327
176412,1147.5207,1158.8479
180012,1148.9453,1166.3808
183612,1146.5118,1169.6822
187212,1150.2214,1161.4556
190812,1167.6187,1162.5909
194412,1153.1420,1161.2928
198012,1149.6872,1152.6912
201612,1147.5358,1163.2382
205212,1148.8634,1162.3037
208812,1149.8740,1158.1978
212412,1156.6829,1160.7131
216012,1152.8448,1153.3346
219612,1141.0463,1157.4240
223212,1153.7354,1152.8706
226812,1150.9120,1155.5818
230412,1148.4920,1155.2349
234012,1145.9390,1156.2054
237612,1146.7684,1150.9345
241212,1150.2581,1153.4507
244812,1147.7892,1152.9011
248412,1153.3329,1153.6783
250008,1148.8075,1155.7706
