iteration,val_loss_A,val_loss_B
0,1212.5556,1212.5379
12,1212.2575,1211.5978
3612,1206.3210,1206.0793
7212,1206.1248,1206.3119
10812,1205.7025,1206.7002
14412,1206.0824,1205.5813
18012,1205.9267,1206.9632
21612,1199.3854,1206.3360
25212,1192.7493,1203.2849
28812,1184.2532,1200.1395
32412,1175.8663,1199.8397
36012,1170.1614,1193.6561
39612,1170.5515,1199.5359
43212,1170.5394,1191.8077
46812,1163.0753,1193.7603
50412,1166.7279,1188.8332
54012,1165.3890,1192.8853
57612,1163.9735,1204.4671
61212,1157.2235,1189.0000
64812,1163.9785,1186.5255
68412,1168.6454,1181.1303
72012,1156.2146,1183.9026
75612,1153.7558,1191.7330
79212,1155.2570,1172.1331
82812,1143.5370,1171.6938
86412,1155.3520,1174.7523
90012,1150.2037,1174.6881
93612,1146.0899,1170.5908
97212,1166.0588,1168.6568
100812,1159.3972,1170.7871
104412,1149.9424,1168.4854
108012,1152.2472,1169.1170
111612,1145.2592,1164.0211
115212,1162.6179,1178.2952
118812,1159.1506,1170.6738
122412,1149.5846,1161.0397
126012,1157.3147,1166.7338
129612,1155.5432,1159.7117
133212,1153.2944,1164.9900
136812,1155.7976,1157.7596
140412,1170.6714,1165.0009
144012,1154.2528,1164.5611
147612,1150.4220,1157.6570
151212,1152.8307,1158.9330
154812,1159.6491,1153.7937
158412,1148.1151,1159.5167
162012,1159.5074,1158.1918
165612,1168.3797,1163.4019
169212,1149.1648,1164.2380
172812,1154.8277,1165.6907
176412,1147.5207,1164.7708
180012,1148.9453,1162.0929
183612,1146.5118,1158.0984
187212,1150.2214,1158.7704
190812,1167.6187,1155.6889
194412,1153.1420,1155.9827
198012,1149.6872,1150.0934
201612,1147.5358,1156.3831
205212,1148.8634,1155.4481
208812,1149.8740,1155.9806
212412,1156.6829,1150.1047
216012,1152.8448,1164.9290
219612,1141.0463,1150.2354
223212,1153.7354,1156.4332
226812,1150.9120,1151.3413
230412,1148.4920,1154.4686
234012,1145.9390,1156.1329
237612,1146.7684,1159.1522
241212,1150.2581,1156.4283
244812,1147.7892,1152.1362
248412,1153.3329,1151.6806
250008,1148.8075,1156.8285
