iteration,val_loss_A,val_loss_B
0,1212.5497,1212.5379
12,1211.7933,1211.5978
3612,1206.8331,1206.0793
7212,1207.4437,1206.3119
10812,1206.1021,1206.7002
14412,1206.2946,1205.5813
18012,1204.1880,1206.9632
21612,1201.7573,1206.3360
25212,1190.0517,1203.2849
28812,1184.5230,1200.1395
32412,1174.2851,1199.8397
36012,1179.1252,1193.6561
39612,1174.0103,1199.5359
43212,1179.8168,1191.8077
46812,1168.8909,1193.7603
50412,1179.0335,1188.8332
54012,1171.3346,1192.8853
57612,1164.6277,1204.4671
61212,1174.0634,1189.0000
64812,1165.9828,1186.5255
68412,1174.3908,1181.1303
72012,1178.1888,1183.9026
75612,1166.0802,1191.7330
79212,1174.6413,1172.1331
82812,1164.9092,1171.6938
86412,1169.4652,1174.7523
90012,1171.1677,1174.6881
93612,1175.2162,1170.5908
97212,1173.9763,1168.6568
100812,1168.6564,1170.7871
104412,1172.8285,1168.4854
108012,1163.5787,1169.1170
111612,1161.7089,1164.0211
115212,1170.3667,1178.2952
118812,1174.6678,1170.6738
122412,1170.5868,1161.0397
126012,1167.1255,1166.7338
129612,1167.4171,1159.7117
133212,1168.2857,1164.9900
136812,1176.3770,1157.7596
140412,1163.0901,1165.0009
144012,1163.1483,1164.5611
147612,1161.3737,1157.6570
151212,1165.2208,1158.9330
154812,1165.6917,1153.7937
158412,1167.5395,1159.5167
162012,1181.6246,1158.1918
165612,1166.1481,1163.4019
169212,1171.6817,1164.2380
172812,1166.0327,1165.6907
176412,1158.8479,1164.7708
180012,1166.3808,1162.0929
183612,1169.6822,1158.0984
187212,1161.4556,1158.7704
190812,1162.5909,1155.6889
194412,1161.2928,1155.9827
198012,1152.6912,1150.0934
201612,1163.2382,1156.3831
205212,1162.3037,1155.4481
208812,1158.1978,1155.9806
212412,1160.7131,1150.1047
216012,1153.3346,1164.9290
219612,1157.4240,1150.2354
223212,1152.8706,1156.4332
226812,1155.5818,1151.3413
230412,1155.2349,1154.4686
234012,1156.2054,1156.1329
237612,1150.9345,1159.1522
241212,1153.4507,1156.4283
244812,1152.9011,1152.1362
248412,1153.6783,1151.6806
250008,1155.7706,1156.8285
