# C6 folds; spec=docs/plans/2026-09-23-c6-control-specification.md sha256=32f2e403a30a6669c9d93ffb07acbfa3147d20c1804a853071724440a030f261 (LF-normalised); generator=results/genome/c6/make_folds.py sha256=700ce69ee57ca7df661647a77e1aa248d7da962e5eaec39617e37305b1b4779e (LF-normalised); key=sha256('C6-v1:'+pair_birth_id); fold=rank mod 10 within stratum; see folds.meta.json
src,tar,src_birth_id,tar_birth_id,pair_birth_id,stratum,flag,fold_key_sha256,rank_in_stratum,fold
Am,Am,ae7eec9cc6aa,ae7eec9cc6aa,9329e3b535d0,empty,,5325903a8ab0d57e4e3e5110ba02c2561894ce0aee96352aa87f2c973483a867,1166,6
Am,C2,ae7eec9cc6aa,ac7377b4f393,21ffbb33d36c,nonempty,,03c0a13429c75087bc1e58a153ff49e3d01d08e08b67125e1b7f5c81c90b2cdd,11,1
Am,C3,ae7eec9cc6aa,6182a4f16e6d,e8e99be360fe,nonempty,,098cf7a930a9c2fd3e95a4b0b441dcbdedab1f8842125ba579bfbc1b96b9c1fa,36,6
Am,CT1(Lo1),ae7eec9cc6aa,7c280b5b9f34,a2be653d19f4,empty,,dcebc09a90b7411ff15992272d7d60c8e5f808fd84e7560a44595313b6d5c45a,3119,9
Am,CT1(M10),ae7eec9cc6aa,63667a4a1a53,33d13ccd2ae2,empty,,8ad37b21931b2809e9ad3651c6559c37236a97cbc4d6565942d9294789438097,1966,6
Am,L1,ae7eec9cc6aa,ad5110ebac00,7f36cc9fe4e0,nonempty,,dae1cc442cd51620ce35c91da5dc2b2a70f44c7e84cf4d2b164c66981883b69e,520,0
Am,L2,ae7eec9cc6aa,36f25ce16c8f,51e1a8237a96,nonempty,,99fad1ddc83eaf5a5dbd5a5a4a93fa4d290a5b17e920c8fb46e8ee91444791b5,367,7
Am,L3,ae7eec9cc6aa,fd5e84317740,e6842946cc29,nonempty,,8c1e7cb6033c94e114a057e7ceb517b955de6a03ef8018944a4d1139a7a70dfc,332,2
Am,L4,ae7eec9cc6aa,7c19534e0d84,f356949efd24,nonempty,,55bba48ce62ab8ecc691478e8bb43c924c7ed505c3d0caac38f269a199312eab,197,7
Am,L5,ae7eec9cc6aa,cc98a8db805e,347b2a83a25a,empty,,836b2a645c7c2b01d8e7ab6653e355a5d53b874bd573d39f89ee06fcb4c56be3,1867,7
Am,Lawf1,ae7eec9cc6aa,2627beca1340,bf67b27567e9,empty,,2df3185f2617ec420fd32fad70598c99a8f6f745331b21a42cc7dce840e001a9,633,3
Am,Lawf2,ae7eec9cc6aa,3a1e8d7d01c3,90f03d3adc23,empty,,f0e8c43567451604743baad44370bac61300d17f7303450679bd4d5237928ff2,3400,0
Am,Mi1,ae7eec9cc6aa,af1ee12c7a13,cf638d6345ed,empty,,f5460c80544c60563e7560d875bdea0f0d473f58f9a18d3d122c9c8339b19d77,3467,7
Am,Mi10,ae7eec9cc6aa,59362ec08e0b,f59fe5962ee6,empty,,305c240acd244d7b69a842c846314e72a7ff1f4c13577bee758beedd495d174f,674,4
Am,Mi11,ae7eec9cc6aa,f8c7207459cd,9019b9db14a5,empty,,93453f891d75bf61d1cf9d66b9cb8c61b19de1344dd92d3c8fa1ca5e23fe20fc,2096,6
Am,Mi12,ae7eec9cc6aa,22599a5bd694,37768cdc18e3,empty,,aae04ab11d6f7fa5a68f478d6715e5f3fc72ad412c2cf0786b4ebbe433b05a68,2447,7
Am,Mi13,ae7eec9cc6aa,7fd7d345df8e,2ee6d5cc938a,empty,,c14d7a300f1c7d40056538da7929241450af9b68d6029983ad02551f916ed27a,2730,0
Am,Mi14,ae7eec9cc6aa,b33da6e1384a,c2c66b87bb6e,empty,,879d5984db910b932421c1c0cf64f950ca59164cc6b7d9e589f5ae7ee27527b7,1932,2
Am,Mi15,ae7eec9cc6aa,4dd1eb26b0df,b420198c9d70,empty,,6427f973687c77780f08c0cb2eda7a5ac5ce32640441c6568b9a004a2daf997a,1421,1
Am,Mi2,ae7eec9cc6aa,8d98b9eb6175,106c29e7c777,empty,,ea038301640aa97af25f4e3fc8709b3dcf54043bd024dfc573b6406dc8a5fc74,3313,3
Am,Mi3,ae7eec9cc6aa,0172ab6332cf,376850c359b9,empty,,318519fb9809cee855d6e54243e064f613572ff349efb1806c1c547e9a9881ee,691,1
Am,Mi4,ae7eec9cc6aa,7c9f2d10b0f7,a82d6ecae7b0,empty,,a5b62ea8d2ef30c32fb9e68c1f9dd994f83f7a66a6e20e5883390fdc06e58752,2377,7
Am,Mi9,ae7eec9cc6aa,760f78ba3287,28d904e76ee0,empty,,ba0feef5caeb42b6eaa4d0ed5d28113fa0d0962a210ecf50dcd01941f853cb13,2642,2
Am,R1,ae7eec9cc6aa,9654b247b494,f087ac945f65,nonempty,,5e2477d55a9916fa65e07522de0c80f81d607a0c24f5e81c5835f4008df58c6a,217,7
